,strain,id,flavors,positive,medical,Type,Rating,Flavor
490,East Coast Sour Diesel,750,"Diesel, Citrus, Pungent","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,4.3,"Diesel,Pungent,Lemon"
491,Eastern European,751,"Earthy, Pine, Woody","Relaxed, Happy, Sleepy","Insomnia, Lack of Appetite, Fatigue, Headaches, Muscle Spasms",indica,5.0,"Earthy,Woody,Pine"
493,Easy Peezy,753,"Earthy, Lemon, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.5,"Lemon,Spicy/Herbal,Earthy"
494,Ecto Cooler,755,"Citrus, Chemical, Earthy","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.4,"Citrus,Earthy,Chemical"
495,Ed Rosenthal Super Bud,756,"Earthy, Pine, Citrus","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.3,"Earthy,Pine,Citrus"
496,Edelweiss,757,"Sweet, Berry, Lime","Relaxed, Hungry, Happy, Sleepy","Depression, Pain, Stress, Nausea, Headache, Fatigue",indica,4.1,"Sweet,Lime,Earthy"
497,Elderberry Kush,762,"Woody, Pungent, Earthy","Relaxed, Hungry, Happy, Sleepy, Giggly","Pain, Lack of Appetite, Fatigue, Eye Pressure, Muscle Spasms",hybrid,4.1,"Berry,Woody,Earthy"
498,Electric Black Mamba,763,"Earthy, Pine","Relaxed, Euphoric, Creative, Uplifted, Sleepy","Pain, Stress",indica,5.0,"Earthy,Pine"
499,Electric Kool Aid,764,"Berry, Diesel, Grape","Euphoric, Happy, Creative, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.8,"Berry,Grape,Diesel"
500,Electric Lemon G,765,"Lemon, Citrus, Lime","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Stress, Lack of Appetite, Headaches, Spasticity",sativa,4.2,"Lemon,Citrus,Lime"
501,Elephant,766,"Earthy, Sweet, Tropical","Relaxed, Happy, Creative, Energetic, Focused","Eye Pressure, Spasticity",sativa,4.0,"Sweet,Earthy,Tropical"
502,Elphinstone,767,"Citrus, Pine, Pungent","Relaxed, Happy, Creative, Focused",Stress,sativa,4.5,"Sweet,Skunk,Tropical"
503,Elvis,768,"Sweet, Citrus, Skunk","Relaxed, Creative, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.6,"Sweet,Earthy,Flowery"
504,Emerald Jack,769,"Earthy, Skunk, Pungent","Euphoric, Happy, Creative, Energetic, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.4,"Earthy,Grape,Pine"
505,Emperor Cookie Dough,771,"Sweet, Citrus, Diesel","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.9,"Sweet,Citrus,Diesel"
506,Endless Sky,772,"Berry, Butter, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.5,"Berry,Sweet,Butter"
507,Enigma,774,"Citrus, Pungent, Earthy","Relaxed, Hungry, Happy, Creative, Giggly","Depression, Insomnia, Pain, Nausea, Inflammation",indica,4.6,"Citrus,Pungent,Flowery"
508,Eran Almog,775,"Earthy, Citrus, Flowery","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.3,"Earthy,Citrus,Woody"
509,Erez,776,"Berry, Blueberry, Blue Cheese","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.3,"Flowery,Berry,Blueberry"
510,Eugene Cream,779,"Earthy, Sweet, Butter","Relaxed, Happy, Creative, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Cramps",hybrid,4.6,"Sweet,Earthy,Butter"
511,Euphoria Cookies,780,"Sweet, Citrus, Butter","Relaxed, Hungry, Euphoric, Creative, Uplifted","Depression, Insomnia, Nausea, Fatigue, Inflammation",hybrid,5.0,"Sweet,Citrus,Tropical"
512,Everlast,781,"Earthy, Skunk, Flowery","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.6,"Earthy,Skunk,Flowery"
513,Ewok,782,"Earthy, Woody, Citrus","Relaxed, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Nausea, Headache, Muscle Spasms",hybrid,4.6,"Earthy,Woody,Pungent"
514,Exodus Cheese,783,"Cheese, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.3,"Cheese,Citrus,Blueberry"
515,Extreme Cream,784,"Blueberry, Earthy, Skunk","Relaxed, Hungry, Happy, Uplifted, Giggly","Depression, Pain, Stress, Nausea, Muscle Spasms",indica,4.8,"Butter,Sweet,Earthy"
516,Fast Eddy,789,"Citrus, Pungent, Skunk","Relaxed, Happy, Creative","Depression, Stress, Fatigue, Headaches, Eye Pressure",hybrid,4.2,"Citrus,Pungent,Skunk"
517,Fat Axl,790,"Diesel, Earthy, Skunk","Happy, Creative, Energetic, Talkative, Uplifted","Depression, Insomnia, Pain, Fatigue, Headaches",hybrid,4.3,"Diesel,Earthy,Skunk"
518,Fat Nelson,791,"Citrus, Pungent","Euphoric, Happy, Creative, Energetic, Uplifted",Stress,hybrid,4.6,"Citrus,Pungent,Sage"
519,Fat Purple,792,"Berry, Grape, Blueberry","Hungry, Happy, Creative, Focused, Giggly","Pain, Stress, Cramps, Headaches, Muscle Spasms",indica,4.7,"Berry,Grape,Sweet"
520,Faygo Red Pop,793,"Berry, Strawberry, Sweet","Relaxed, Euphoric, Happy, Creative, Giggly","Depression, Pain, Stress, Headaches, Eye Pressure",indica,4.8,"Strawberry,Spicy/Herbal,Sage"
521,Fire Alien Kush,795,"Earthy, Woody, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.5,"Earthy,Woody,Spicy/Herbal"
522,Fire Haze,796,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.2,"Sweet,Berry,Earthy"
523,Flaming Cookies,799,"Spicy/Herbal, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.2,"Spicy/Herbal,Sweet,Diesel"
524,Flo,800,"Earthy, Pine, Sweet","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",hybrid,4.2,"Sweet,Earthy,Flowery"
526,Flowerbomb Kush,804,"Pungent, Sweet, Citrus","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Lack of Appetite, Inflammation",indica,4.6,"Sweet,Earthy,Citrus"
527,Flowers For Algernon,805,"Diesel, Citrus, Lemon","Creative, Energetic, Talkative, Uplifted, Aroused","Depression, Insomnia, Lack of Appetite, Headaches, Muscle Spasms",hybrid,5.0,"Diesel,Citrus,Minty"
528,Fortune Cookies,806,"Honey, Diesel, Citrus","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.6,"Earthy,Honey,Sweet"
529,Four Cups,807,"Earthy, Diesel, Pungent","Euphoric, Happy, Energetic, Focused, Aroused","Pain, Stress, Cramps, Fatigue, Headaches",hybrid,5.0,"Earthy,Diesel,Spicy/Herbal"
531,Frankenstein,811,"Earthy, Skunk, Citrus","Relaxed, Euphoric, Happy, Talkative, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.4,"Lavender,Tobacco,Earthy"
532,Freezeland,813,"Sweet, Orange, Pine","Relaxed, Happy, Sleepy, Giggly","Depression, Insomnia, Stress, Lack of Appetite, Headache, Fatigue",indica,3.6,"Pine,Woody,Earthy"
533,Frida,814,"Lemon, Citrus, Sweet","Relaxed, Happy, Creative, Uplifted, Sleepy","Insomnia, Pain, Stress, Fatigue, Inflammation",indica,4.9,"Lemon,Earthy,Pine"
534,Frisian Dew,815,"Woody, Pine, Earthy","Relaxed, Euphoric, Happy, Tingly, Giggly","Depression, Pain, Stress, Lack of Appetite, Inflammation",hybrid,4.2,"Sweet,Citrus,Pungent"
535,Frisian Duck,816,"Pine, Spicy/Herbal, Berry","Hungry, Euphoric, Happy, Creative, Uplifted","Pain, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.4,"Sweet,Citrus,Woody"
536,Frostbite,817,"Earthy, Skunk, Berry","Relaxed, Happy, Uplifted, Sleepy, Focused","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",sativa,4.3,"Earthy,Skunk,Berry"
537,Frosted Freak,818,"Lime, Citrus, Vanilla","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.8,"Flowery,Lime,Vanilla"
538,Frosty,819,"Sweet, Berry, Flowery","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.4,"Earthy,Sweet,Skunk"
539,Fruit Loops,820,"Sweet, Berry, Flowery","Relaxed, Hungry, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.5,"Sweet,Berry,Lemon"
540,Fruit Punch,821,"Sweet, Berry, Tropical","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.6,"Sweet,Berry,Skunk"
541,Fruit Spirit,822,"Blueberry, Spicy/Herbal, Earthy","Relaxed, Euphoric, Happy, Energetic, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.4,"Earthy,Blueberry,Sweet"
542,Fruity Chronic Juice,823,"Citrus, Grapefruit, Sweet","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.2,"Citrus,Grapefruit,Tropical"
543,Fruity Pebbles,824,"Sweet, Berry, Tropical","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.4,"Sweet,Tropical,Berry"
544,Fruity Widow,825,"Blueberry, Sweet","Relaxed, Hungry, Happy, Creative, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.9,"Sweet,Blueberry"
545,Fruitylicious,826,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy","Depression, Insomnia, Pain, Stress, Eye Pressure",indica,4.0,"Sweet,Blueberry,Minty"
546,Fucking Incredible,827,"Earthy, Skunk, Pine","Relaxed, Happy, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Earthy,Pungent,Woody"
547,Full Moon,828,"Spicy/Herbal, Ammonia, Citrus","Hungry, Happy, Energetic, Uplifted, Aroused","Depression, Stress, Lack of Appetite, Fatigue",sativa,4.9,"Spicy/Herbal,Citrus,Earthy"
548,Funfetti,829,"Earthy, Sweet, Flowery","Hungry, Happy, Energetic, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.8,"Berry,Woody,Earthy"
549,Funky Monkey,830,"Earthy, Berry, Sweet","Relaxed, Happy, Tingly, Sleepy, Giggly","Insomnia, Pain, Stress, Lack of Appetite, Nausea, Headache",indica,4.4,"Grape,Earthy,Berry"
550,Future,831,"Pine, Earthy, Ammonia","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.8,"Diesel,Earthy,Citrus"
551,G13 Diesel,841,"Sweet, Diesel, Skunk","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.8,"Sweet,Diesel,Skunk"
552,G13 Haze,842,"Sweet, Earthy, Pine","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Eye Pressure",hybrid,4.4,"Pine,Sweet,Earthy"
553,G13 Widow,843,"Earthy, Flowery, Lime","Euphoric, Creative, Energetic, Tingly, Focused","Depression, Pain, Stress, Headache, Fatigue, Inflammation",hybrid,4.8,"Flowery,Earthy,Lime"
554,Galactic Jack,847,"Sweet, Citrus, Grapefruit","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",sativa,4.6,"Citrus,Sweet,Flowery"
555,Game Changer,848,"Earthy, Spicy/Herbal, Grape","Relaxed, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.5,"Earthy,Grape,Apple"
556,Ganesh Berry,850,"Flowery, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Fatigue, Headaches, Eye Pressure",hybrid,4.6,"Flowery,Sweet,Berry"
557,Garlic Bud,851,"Pungent, Skunk, Tar","Relaxed, Creative, Giggly, Aroused","Depression, Insomnia, Pain, Lack of Appetite, Fatigue",indica,4.1,"Earthy,Woody,Pepper"
558,Gelato,853,"Sweet, Pungent, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.7,"Sweet,Pungent,Flowery"
559,Gemstone,854,"Tea, Citrus, Grapefruit","Relaxed, Hungry, Euphoric, Happy, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.8,"Citrus,Flowery,Earthy"
560,Georgia Pine,855,"Flowery, Sweet, Pine","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Lack of Appetite, Fatigue, Muscle Spasms",hybrid,4.8,"Sweet,Flowery,Pine"
561,Ghost Bubba,856,"Pungent, Flowery, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.6,"Sweet,Pungent,Grape"
562,Ghost Ship,859,"Earthy, Pungent, Skunk","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Cramps",indica,4.0,"Earthy,Pungent,Skunk"
563,Ghost Train Haze,860,"Citrus, Earthy, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.6,"Earthy,Citrus,Pine"
564,Gigabud,861,"Pine, Tree Fruit, Tropical","Relaxed, Hungry, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Nausea, Headache",indica,4.4,"Sweet,Spicy/Herbal,Tropical"
565,Ginger Ale,862,"Apricot, Berry, Diesel","Relaxed, Euphoric, Happy, Tingly, Aroused","Insomnia, Pain, Stress, Headache, Inflammation, Muscle Spasms",hybrid,4.9,"Berry,Earthy,Diesel"
566,Glad Max,864,"Flowery, Pungent, Spicy/Herbal","Relaxed, Euphoric, Creative, Energetic, Focused","Depression, Pain, Stress, Lack of Appetite, Inflammation",hybrid,4.3,"Earthy,Sweet,Flowery"
567,Glass Apple,865,"Apple, Minty, Plum","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Lack of Appetite, Fatigue, Headaches",hybrid,4.8,"Apple,Sweet,Minty"
568,Glass Slipper,866,"Pineapple, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.3,"Sweet,Earthy,Flowery"
569,Glue Tech,867,"Citrus, Diesel, Lime","Happy, Energetic, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.6,"Earthy,Sweet,Berry"
570,Go Time,868,"Earthy, Tea, Woody","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Inflammation",hybrid,4.3,"Earthy,Woody,Tea"
571,Gobbilygoo,869,"Berry, Grape, Lavender","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,4.5,"Berry,Grape,Lavender"
572,Gobbstopper,870,"Berry, Skunk, Sweet","Relaxed, Hungry, Happy, Uplifted, Focused","Depression, Stress, Lack of Appetite, Nausea",indica,4.5,"Spicy/Herbal,Sweet,Berry"
573,God Bud,871,"Earthy, Pungent, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.3,"Pungent,Earthy,Sweet"
574,Godberry,874,"Berry, Blueberry, Sweet","Relaxed, Euphoric, Happy, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.6,"Earthy,Berry,Blueberry"
575,Godfather Purple Kush,876,"Berry, Grape, Spicy/Herbal","Relaxed, Euphoric, Happy, Talkative, Sleepy","Insomnia, Pain, Stress, Headaches, Inflammation",indica,4.3,"Berry,Spicy/Herbal,Pungent"
576,Godzilla,877,"Earthy, Berry, Diesel","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.3,"Earthy,Flowery,Woody"
577,Godzilla Glue,878,"Earthy, Sweet, Citrus","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.7,"Tropical,Spicy/Herbal,Sweet"
578,Goji Diesel,882,Diesel,"Relaxed, Euphoric, Creative, Uplifted, Focused","Depression, Stress, Cramps, Fatigue, Headaches",hybrid,4.8,Diesel
579,Goldberry,885,"Earthy, Mint, Tea","Euphoric, Tingly","Pain, Stress, Nausea, Fatigue, Eye Pressure",indica,4.5,"Mint,Earthy,Woody"
580,Golden Gage,886,"Pepper, Citrus, Lemon","Euphoric, Happy, Energetic, Focused, Aroused","Depression, Pain, Stress, Fatigue",hybrid,4.4,"Pepper,Spicy/Herbal,Citrus"
581,Golden Goat,887,"Earthy, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.5,"Sweet,Citrus,Tropical"
583,Golden Nugget,889,"Skunk, Lime, Sweet","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue, Inflammation",hybrid,4.8,"Sweet,Lime,Skunk"
584,Golden Panda,890,"Pungent, Sweet, Citrus","Relaxed, Hungry, Euphoric, Happy, Uplifted","Insomnia, Stress, Cramps, Fatigue, Headaches",hybrid,4.6,"Pungent,Sweet,Citrus"
585,Golden Pineapple,891,"Pineapple, Citrus, Tropical","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.5,"Pineapple,Tropical,Citrus"
586,Golden Ticket,892,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.5,"Citrus,Earthy,Lemon"
587,Goo,894,"Sweet, Berry, Blueberry","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headache, Headaches",indica,4.3,"Berry,Blueberry,Sweet"
588,Gooberry,895,"Berry, Sweet, Flowery","Relaxed, Euphoric, Happy, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.3,"Blueberry,Berry,Sweet"
589,Good Medicine,896,"Earthy, Spicy/Herbal, Citrus","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Inflammation",hybrid,4.3,"Earthy,Spicy/Herbal,Citrus"
590,Gorilla Biscuit,897,"Coffee, Woody, Pine","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.7,"Coffee,Pine,Cheese"
591,Gorilla Cookies,898,"Pungent, Sweet, Skunk","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.8,"Sweet,Earthy,Minty"
592,Gorkle,902,Sweet,"Happy, Creative, Focused, Aroused","Pain, Stress, Fatigue",sativa,5.0,Sweet
593,Grand Doggy Purps,904,"Grape, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy","Depression, Pain, Stress, Inflammation, Muscle Spasms",indica,4.4,"Sweet,Grape,Earthy"
594,Grand Hindu,905,"Grape, Earthy, Diesel","Relaxed, Euphoric, Happy, Sleepy","Depression, Pain, Stress, Headaches, Eye Pressure",indica,4.6,"Grape,Berry,Sweet"
595,Grand Hustle,906,"Honey, Earthy, Citrus","Relaxed, Euphoric, Uplifted, Focused, Giggly","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",hybrid,4.1,"Honey,Earthy,Citrus"
596,Granddaddy Purple,907,"Berry, Grape, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.4,"Grape,Berry,Sweet"
597,Grape Ape,911,"Grape, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.3,"Grape,Sweet,Berry"
598,Grape Calyx,912,"Grape, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy, Creative","Pain, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,5.0,"Sweet,Grape,Flowery"
599,Grape Cookies,913,"Grape, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.6,"Grape,Berry,Diesel"
600,Grape Crush,914,"Grape, Sweet, Lime","Relaxed, Hungry, Euphoric, Creative, Uplifted","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms",hybrid,4.3,"Grape,Sweet,Berry"
601,Grape Drink,915,"Grape, Flowery, Sweet","Relaxed, Euphoric, Happy, Creative, Giggly","Depression, Pain, Stress, Fatigue, Eye Pressure",indica,4.7,"Grape,Sweet,Flowery"
602,Grape God,916,"Grape, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.3,"Grape,Berry,Sweet"
603,Grape Inferno,917,"Grape, Berry, Lavender","Relaxed, Happy, Sleepy","Insomnia, Pain, Stress, Nausea, Inflammation",indica,4.5,"Grape,Sweet,Diesel"
604,Grape Krush,918,"Grape, Sweet, Berry","Relaxed, Hungry, Euphoric, Uplifted, Sleepy","Insomnia, Pain, Stress, Cramps, Lack of Appetite",indica,4.3,"Grape,Sweet,Berry"
605,Grape Kush,919,"Grape, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,3.9,"Grape,Sweet,Earthy"
606,Grape Skunk,921,"Skunk, Earthy, Sweet","Relaxed, Happy, Uplifted, Focused, Giggly","Depression, Insomnia, Pain, Stress, Nausea",indica,4.1,"Grape,Sweet,Skunk"
607,Grape Valley Kush,923,"Berry, Grape, Earthy","Relaxed, Hungry, Euphoric, Creative, Sleepy","Depression, Pain, Lack of Appetite, Inflammation, Muscle Spasms",indica,4.8,"Berry,Grape,Pine"
608,Grapefruit,924,"Grapefruit, Citrus, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.3,"Grapefruit,Citrus,Sweet"
609,Grapefruit Diesel,925,"Grapefruit, Diesel, Citrus","Relaxed, Euphoric, Happy, Talkative, Giggly","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.2,"Grapefruit,Citrus,Diesel"
610,Grapefruit Haze,926,"Grapefruit, Citrus, Lemon","Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",sativa,4.4,"Diesel,Earthy,Grapefruit"
611,Grapefruit Kush,927,"Grapefruit, Earthy, Citrus","Relaxed, Hungry, Euphoric, Happy, Uplifted","Insomnia, Stress, Fatigue, Seizures, Muscle Spasms",hybrid,4.3,"Grapefruit,Sweet,Citrus"
612,Gravity,928,"Sweet, Rose, Violet","Relaxed, Hungry, Euphoric, Sleepy, Aroused","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.0,"Sweet,Citrus,Rose"
613,Grease Monkey,929,"Pungent, Diesel, Sweet","Relaxed, Hungry, Euphoric, Happy","Depression, Stress, Fatigue, Headaches, Inflammation",hybrid,4.6,"Earthy,Pungent,Diesel"
614,Green Avenger,931,"Sweet, Cheese, Honey","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Stress, Headache, Fatigue",hybrid,5.0,"Sweet,Minty,Honey"
615,Green Candy,932,"Sweet, Pine, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms",sativa,4.3,"Earthy,Sweet,Tobacco"
